pok_chapter,pok_section,pok_subsection,pok_detail,pok_subdetail,pok_extra,type,level,name,description,page,sequence
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Purl half-hitch cast on,Method one,extra,6,Method one,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Purl half-hitch cast on, Method one",44,128
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Purl half-hitch cast on,Method two,extra,6,Method two,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Purl half-hitch cast on, Method two",44,129
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Ribbed half-hitch cast-on,,subdetail,5,Ribbed half-hitch cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Ribbed half-hitch cast-on",45,130
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Ribbed half-hitch cast-on,Alternating yarns version,extra,6,Alternating yarns version,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Ribbed half-hitch cast-on, Alternating yarns version",45,131
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Ribbed half-hitch cast-on,Separate yarns version,extra,6,Separate yarns version,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Ribbed half-hitch cast-on, Separate yarns version",45,132
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Half-hitch cast-on for two hands,,subdetail,5,Half-hitch cast-on for two hands,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Half-hitch cast-on for two hands",45,133
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Half-hitch cast-on for two hands,Knit half-hitch for two hands,extra,6,Knit half-hitch for two hands,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Half-hitch cast-on for two hands, Knit half-hitch for two hands",45,134
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Basic half-hitch cast-ons,Half-hitch cast-on for two hands,Purl half-hitch for two hands,extra,6,Purl half-hitch for two hands,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Basic half-hitch cast-ons, Half-hitch cast-on for two hands, Purl half-hitch for two hands",45,135
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Mirror-image cast-on,,,detail,4,Mirror-image cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Mirror-image cast-on",46,136
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Mirror-image cast-on,Knit mirror-image cast-on,,subdetail,5,Knit mirror-image cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Mirror-image cast-on, Knit mirror-image cast-on",46,137
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Mirror-image cast-on,Purl mirror-image cast-on,,subdetail,5,Purl mirror-image cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Mirror-image cast-on, Purl mirror-image cast-on",46,138
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Mirror-image cast-on,Purl mirror-image cast-on,Method one,extra,6,Method one,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Mirror-image cast-on, Purl mirror-image cast-on, Method one",46,139
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Mirror-image cast-on,Purl mirror-image cast-on,Method two,extra,6,Method two,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Mirror-image cast-on, Purl mirror-image cast-on, Method two",46,140
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Right-left half-hitch cast-on,,,detail,4,Right-left half-hitch cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Right-left half-hitch cast-on",46,141
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,,,detail,4,Twisted half-hitch cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on",46,142
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method one,,subdetail,5,Twisted half-hitch: Method one,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method one",47,143
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method two,,subdetail,5,Twisted half-hitch: Method two,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method two",47,144
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method two,Twisted simple half-hitch version,extra,6,Twisted simple half-hitch version,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method two, Twisted simple half-hitch version",47,145
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method two,Twisted knit half-hitch version,extra,6,Twisted knit half-hitch version,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method two, Twisted knit half-hitch version",47,146
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method two,Twisted purl half-hitch version,extra,6,Twisted purl half-hitch version,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method two, Twisted purl half-hitch version",47,147
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method three,,subdetail,5,Twisted half-hitch: Method three,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method three",48,148
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method three,Twisted simple half-hitch version,extra,6,Twisted simple half-hitch version,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method three, Twisted simple half-hitch version",48,149
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method three,Twisted half-hitch version for two hands,extra,6,Twisted half-hitch version for two hands,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method three, Twisted half-hitch version for two hands",48,150
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method four,,subdetail,5,Twisted half-hitch: Method four,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method four",48,151
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method four,Twisted simple half-hitch version,extra,6,Twisted simple half-hitch version,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method four, Twisted simple half-hitch version",48,152
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Twisted half-hitch cast-on,Twisted half-hitch: Method four,Twisted half-hitch version for two hands,extra,6,Twisted half-hitch version for two hands,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Twisted half-hitch cast-on, Twisted half-hitch: Method four, Twisted half-hitch version for two hands",48,153
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Double-needle cast-on,,,detail,4,Double-needle cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Double-needle cast-on",49,154
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Double-needle cast-on,Knit double-needle cast-on,,subdetail,5,Knit double-needle cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Double-needle cast-on, Knit double-needle cast-on",49,155
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Double-needle cast-on,Purl double-needle cast-on,,subdetail,5,Purl double-needle cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Double-needle cast-on, Purl double-needle cast-on",50,156
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Double-needle cast-on,Purl double-needle cast-on,Method one,extra,6,Method one,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Double-needle cast-on, Purl double-needle cast-on, Method one",50,157
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Double-needle cast-on,Purl double-needle cast-on,Method two,extra,6,Method two,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Double-needle cast-on, Purl double-needle cast-on, Method two",51,158
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Double-needle cast-on,Rotated half-hitch cast-on,,subdetail,5,Rotated half-hitch cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Double-needle cast-on, Rotated half-hitch cast-on",51,159
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Contrast color edges,,,detail,4,Contrast color edges,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Contrast color edges",51,160
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Contrast color edges,Contrast-color half-hitch edges,,subdetail,5,Contrast-color half-hitch edges,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Contrast color edges, Contrast-color half-hitch edges",51,161
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Contrast color edges,Contrast-color edges for ribbing,,subdetail,5,Contrast-color edges for ribbing,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Contrast color edges, Contrast-color edges for ribbing",52,162
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Braided cast-ons,,,detail,4,Braided cast-ons,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Braided cast-ons",52,163
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Braided cast-ons,Two-yarn braided cast-on,,subdetail,5,Two-yarn braided cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Braided cast-ons, Two-yarn braided cast-on",52,164
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Braided cast-ons,Tricolor braid cast-on,,subdetail,5,Tricolor braid cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Braided cast-ons, Tricolor braid cast-on",53,165
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Braided cast-ons,Tricolor braid cast-on,Method one,extra,6,Method one,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Braided cast-ons, Tricolor braid cast-on, Method one",53,166
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Braided cast-ons,Tricolor braid cast-on,Method two,extra,6,Method two,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Braided cast-ons, Tricolor braid cast-on, Method two",54,167
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Braided cast-ons,Tricolor braid cast-on,By the way…,extra,6,By the way…,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Braided cast-ons, Tricolor braid cast-on, By the way…",54,168
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Knotted cast-on,,,detail,4,Knotted cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Knotted cast-on",54,169
03 Casting on,Finger cast-on techniques,Compound half-hitch cast-ons,Channel island cast-on,,,detail,4,Channel island cast-on,"03 Casting on, Finger cast-on techniques, Compound half-hitch cast-ons, Channel island cast-on",54,170
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,,,,subsection,3,The wrapped cast-ons,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons",55,171
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Stranded cast-on,,,detail,4,Stranded cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Stranded cast-on",55,172
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Stranded cast-on,Basic stranded cast-on,,subdetail,5,Basic stranded cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Stranded cast-on, Basic stranded cast-on",55,173
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Stranded cast-on,Basic stranded cast-on,To cast on,extra,6,To cast on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Stranded cast-on, Basic stranded cast-on, To cast on",55,174
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Stranded cast-on,Basic stranded cast-on,To work first row,extra,6,To work first row,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Stranded cast-on, Basic stranded cast-on, To work first row",56,175
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Alternating cast-on,,,detail,4,Alternating cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Alternating cast-on",56,176
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Alternating cast-on,Alternating cast-on for single rib,,subdetail,5,Alternating cast-on for single rib,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Alternating cast-on, Alternating cast-on for single rib",57,177
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Alternating cast-on,Alternating cast-on for double rib,,subdetail,5,Alternating cast-on for double rib,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Alternating cast-on, Alternating cast-on for double rib",57,178
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Alternating cast-on,Alternating cast-on for double rib,To cast on,extra,6,To cast on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Alternating cast-on, Alternating cast-on for double rib, To cast on",58,179
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Alternating cast-on,Alternating cast-on for double rib,To work first row,extra,6,To work first row,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Alternating cast-on, Alternating cast-on for double rib, To work first row",58,180
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Alternating cast-on,Alternating cast-on for multicolour ribbings,,subdetail,5,Alternating cast-on for multicolour ribbings,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Alternating cast-on, Alternating cast-on for multicolour ribbings",58,181
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Picot cast-on,,,detail,4,Picot cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Picot cast-on",58,182
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Picot cast-on,Knit picot cast-on,,subdetail,5,Knit picot cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Picot cast-on, Knit picot cast-on",59,183
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Picot cast-on,Purl picot cast-on,,subdetail,5,Purl picot cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Picot cast-on, Purl picot cast-on",59,184
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Provisional cast-ons,,,detail,4,Provisional cast-ons,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Provisional cast-ons",59,185
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Provisional cast-ons,Stranded provisional cast-on,,subdetail,5,Stranded provisional cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Provisional cast-ons, Stranded provisional cast-on",59,186
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Provisional cast-ons,Alternating provisional cast-on,,subdetail,5,Alternating provisional cast-on,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Provisional cast-ons, Alternating provisional cast-on",59,187
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Provisional cast-ons,Alternating provisional cast-on,Knit version,extra,6,Knit version,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Provisional cast-ons, Alternating provisional cast-on, Knit version",59,188
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Provisional cast-ons,Alternating provisional cast-on,Purl version,extra,6,Purl version,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Provisional cast-ons, Alternating provisional cast-on, Purl version",60,189
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,,,detail,4,Cast-ons for a center start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start",60,190
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Alternating cast-on for center start,,subdetail,5,Alternating cast-on for center start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Alternating cast-on for center start",60,191
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Double fabric center start,,subdetail,5,Double fabric center start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Double fabric center start",61,192
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Circular needle wrap,,subdetail,5,Circular needle wrap,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Circular needle wrap",61,193
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Double-point needle wrap,,subdetail,5,Double-point needle wrap,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Double-point needle wrap",62,194
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Figure-8 wrap,,subdetail,5,Figure-8 wrap,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Figure-8 wrap",62,195
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Tab start,,subdetail,5,Tab start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Tab start",62,196
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Slip knot start,,subdetail,5,Slip knot start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Slip knot start",63,197
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Slip knot start,Purl slip knot start,extra,6,Purl slip knot start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Slip knot start, Purl slip knot start",63,198
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Slip knot start,Crochet slip knot start,extra,6,Crochet slip knot start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Slip knot start, Crochet slip knot start",63,199
03 Casting on,Finger cast-on techniques,The wrapped cast-ons,Cast-ons for a center start,Three-stitch start,,subdetail,5,Three-stitch start,"03 Casting on, Finger cast-on techniques, The wrapped cast-ons, Cast-ons for a center start, Three-stitch start",63,200
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,,,,subsection,3,Miscellaneous cast-ons,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons",63,201
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Corded cast-on,,,detail,4,Corded cast-on,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Corded cast-on",63,202
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Corded cast-on,Tubular edge with chained cast-on,,subdetail,5,Tubular edge with chained cast-on,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Corded cast-on, Tubular edge with chained cast-on",64,203
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Corded cast-on,Tubular edge with simple cast-on,,subdetail,5,Tubular edge with simple cast-on,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Corded cast-on, Tubular edge with simple cast-on",64,204
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Corded cast-on,Double fabric corded edge,,subdetail,5,Double fabric corded edge,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Corded cast-on, Double fabric corded edge",64,205
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Corded cast-on,Double fabric cord for single rib,,subdetail,5,Double fabric cord for single rib,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Corded cast-on, Double fabric cord for single rib",64,206
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Side or mid-fabric cast-ons,,,detail,4,Side or mid-fabric cast-ons,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Side or mid-fabric cast-ons",64,207
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Side or mid-fabric cast-ons,Compound cast-on at side edge,,subdetail,5,Compound cast-on at side edge,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Side or mid-fabric cast-ons, Compound cast-on at side edge",64,208
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Side or mid-fabric cast-ons,Half-hitch cast-on for sloped edge,,subdetail,5,Half-hitch cast-on for sloped edge,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Side or mid-fabric cast-ons, Half-hitch cast-on for sloped edge",65,209
03 Casting on,Finger cast-on techniques,Miscellaneous cast-ons,Side or mid-fabric cast-ons,Provisional cast-on at side edge,,subdetail,5,Provisional cast-on at side edge,"03 Casting on, Finger cast-on techniques, Miscellaneous cast-ons, Side or mid-fabric cast-ons, Provisional cast-on at side edge",65,210
03 Casting on,Knitted and chained cast-ons,,,,,section,2,Knitted and chained cast-ons,"03 Casting on, Knitted and chained cast-ons",65,211
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,,,,subsection,3,Knitted cast-ons,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons",65,212
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Knit cast-on,,,detail,4,Knit cast-on,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Knit cast-on",66,213
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Purl cast-on,,,detail,4,Purl cast-on,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Purl cast-on",66,214
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Knit-purl cast-on,,,detail,4,Knit-purl cast-on,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Knit-purl cast-on",66,215
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Some tips for knitted cast-ons,,,detail,4,Some tips for knitted cast-ons,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Some tips for knitted cast-ons",66,216
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Open knit cast-on,,,detail,4,Open knit cast-on,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Open knit cast-on",67,217
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Woven knit cast-on,,,detail,4,Woven knit cast-on,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Woven knit cast-on",67,218
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Cable cast-ons,,,detail,4,Cable cast-ons,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Cable cast-ons",67,219
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Cable cast-ons,Knit cable cast-on,,subdetail,5,Knit cable cast-on,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Cable cast-ons, Knit cable cast-on",67,220
03 Casting on,Knitted and chained cast-ons,Knitted cast-ons,Cable cast-ons,Purl cable cast-on,,subdetail,5,Purl cable cast-on,"03 Casting on, Knitted and chained cast-ons, Knitted cast-ons, Cable cast-ons, Purl cable cast-on",67,221
03 Casting on,Knitted and chained cast-ons,Knitted border cast-ons,,,,subsection,3,Knitted border cast-ons,"03 Casting on, Knitted and chained cast-ons, Knitted border cast-ons",67,222
03 Casting on,Knitted and chained cast-ons,Knitted border cast-ons,Eyelet cast-on border,,,detail,4,Eyelet cast-on border,"03 Casting on, Knitted and chained cast-ons, Knitted border cast-ons, Eyelet cast-on border",68,223
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,,,,subsection,3,Chained cast-ons,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons",68,224
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Single crochet cast-on,,,detail,4,Single crochet cast-on,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Single crochet cast-on",69,225
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Single crochet cast-on,Single crochet chain,,subdetail,5,Single crochet chain,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Single crochet cast-on, Single crochet chain",69,226
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Single crochet cast-on,Picking up in chain: method one,,subdetail,5,Picking up in chain: method one,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Single crochet cast-on, Picking up in chain: method one",69,227
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Single crochet cast-on,Picking up in chain: method two,,subdetail,5,Picking up in chain: method two,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Single crochet cast-on, Picking up in chain: method two",69,228
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Hook and needle chained cast-on,,,detail,4,Hook and needle chained cast-on,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Hook and needle chained cast-on",69,229
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Two-needle chained cast-on,,,detail,4,Two-needle chained cast-on,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Two-needle chained cast-on",69,230
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Two-needle chained cast-on,Purl two-needle chained cast-on,,subdetail,5,Purl two-needle chained cast-on,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Two-needle chained cast-on, Purl two-needle chained cast-on",70,231
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Two-needle chained cast-on,Knit two-needle chained cast-on,,subdetail,5,Knit two-needle chained cast-on,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Two-needle chained cast-on, Knit two-needle chained cast-on",70,232
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Chained provisional edge,,,detail,4,Chained provisional edge,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Chained provisional edge",70,233
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Chained loop cast-on,,,detail,4,Chained loop cast-on,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Chained loop cast-on",70,234
03 Casting on,Knitted and chained cast-ons,Chained cast-ons,Double-chained cast-on,,,detail,4,Double-chained cast-on,"03 Casting on, Knitted and chained cast-ons, Chained cast-ons, Double-chained cast-on",71,235
03 Casting on,Knitted and chained cast-ons,Crocheted edges,,,,subsection,3,Crocheted edges,"03 Casting on, Knitted and chained cast-ons, Crocheted edges",71,236